FIPS,State,County,Some_College,Unemployment,High_School_Grad,Severe_Housing_Cost_Burden,Child_Care_Cost_Burden,Voter Turnout,Feelings of Loneliness
01125,Alabama,Tuscaloosa,65.53000876,2.3399467038,90.870830629,13.79803507,24.368015446,56.209948884,36.2
01127,Alabama,Walker,56.264964086,2.6443899209,82.879230067,9.4952420356,28.376186368,63.431013431,37.5
01129,Alabama,Washington,51.962616822,2.5683060109,88.68504377,6.6929133858,24.897489138,69.181605612,35.8
01131,Alabama,Wilcox,39.086294416,7.9968329375,77.86755158,12.225352113,43.403241736,73.7875,38.9
01133,Alabama,Winston,40.824701974,2.7287648748,78.766561144,7.1193866375,28.322494262,60.650362806,33.2
02000,Alaska,,64.646146288,4.2254980481,93.471243259,11.542771038,28.479485596,67.510397987,34.1
02013,Alaska,Aleutians East,47.312859885,2.1015067407,83.889528193,8.5245901639,21.593975904,,36.6
02016,Alaska,Aleutians West,55.477223427,3.011539544,90.487120632,3.5820895522,31.20421663,,36.7
02020,Alaska,Anchorage,70.097391694,3.4271961173,94.008156056,12.105213538,38.076927174,,34.2
02050,Alaska,Bethel,32.532274081,9.7137772505,81.927119144,9.4984465158,40.323463148,,42.2
02060,Alaska,Bristol Bay,65.562913907,3.6876355748,94.971264368,3.8585209003,22.76179978,,38.7
02063,Alaska,Chugach,75.481695568,4.710982659,95.679901255,3.2432432432,25.294179449,,34.3
02066,Alaska,Copper River,68.537074148,7.6197387518,90.983161325,7.8639744952,24.269090488,,37.2
02068,Alaska,Denali,41.237113402,5.9558117195,93.385447986,7.358490566,18.770756404,,36.1
02070,Alaska,Dillingham,46.857142857,6.3620589936,87.355920363,8.7115666179,29.869963897,,41.4
02090,Alaska,Fairbanks North Star,71.617360971,3.8044792193,94.881304426,11.897289586,36.218022586,,35.5
02100,Alaska,Haines,81.78807947,6.5706570657,98.355471221,11.35483871,20.026955206,,35.4
02105,Alaska,Hoonah-Angoon,50.681818182,5.5857253685,93.522727273,5.2109181141,26.254635352,,39.6
02110,Alaska,Juneau,71.008627117,2.993532139,94.650187789,10.315543436,27.34791675,,36.6
02122,Alaska,Kenai Peninsula,60.403082395,4.7177848775,94.308866485,11.313220941,31.602075891,,34
02130,Alaska,Ketchikan Gateway,65.521661113,3.6757227953,94.922383575,13.29055912,33.454876937,,35.5
02150,Alaska,Kodiak Island,69.242162429,4.4117647059,92.537842952,12.457531144,31.564057971,,36.1
02158,Alaska,Kusilvak,22.962962963,15.056570931,81.046569855,9.2561983471,34.114539961,,42.7
02164,Alaska,Lake and Peninsula,43.264248705,5.8823529412,91.104294479,4.375,25.707068285,,38.5
02170,Alaska,Matanuska-Susitna,58.000897896,4.8259907463,94.293180823,13.020598007,28.41400356,,37.7
02180,Alaska,Nome,40.276738968,7.6809088664,88.606453939,9.5536702324,30.394708882,,39.1
02185,Alaska,North Slope,54.579172611,4.9281984334,90.180772391,6.6508313539,19.420410213,,39.5
02188,Alaska,Northwest Arctic,36.05,9.632536568,85.920666014,7.8420148827,29.285541663,,41.3
02195,Alaska,Petersburg,63.746630728,5.078683834,90.592051906,11.896838602,30.41388479,,36
02198,Alaska,Prince of Wales-Hyder,52.590873937,6.7415730337,92.459736457,7.9565217391,27.51814882,,37.2
02201,Alaska,Prince of Wales-Outer Ketchikan,,,,,,,
02220,Alaska,Sitka,74.589490969,2.9652578004,95.640059007,11.374963354,48.988393977,,38.5
02230,Alaska,Skagway,49.880668258,5.8214747736,93.737957611,3.1088082902,26.649624742,,36.6
02232,Alaska,Skagway-Hoonah-Angoon,,,,,,,
02240,Alaska,Southeast Fairbanks,55.813953488,5.2104798351,93.025246042,7.7940481814,28.440529526,,33.8
02261,Alaska,Valdez-Cordova,,,,,,,
02270,Alaska,Wade Hampton,,,,,,,
02275,Alaska,Wrangell,59.958071279,4.8596112311,90.231023102,7.380952381,27.753764748,,38.6
02280,Alaska,Wrangell-Petersburg,,,,,,,
02282,Alaska,Yakutat,64.957264957,6.0317460317,92.211055276,5.5813953488,28.518441666,,39.3
02290,Alaska,Yukon-Koyukuk,48.683220467,9.0301003344,86.634090256,7.9809725159,31.09216534,,41.4
04000,Arizona,,66.195878942,3.9140085826,89.088999331,12.735564323,29.92250514,67.076758566,33.7
04001,Arizona,Apache,56.358005574,7.8816386807,84.922185859,6.4697609001,46.279075161,67.534562212,40
04003,Arizona,Cochise,62.286557751,4.5336291217,89.217893994,9.2910793291,33.289317312,64.010590416,36.6
04005,Arizona,Coconino,73.300455028,4.1999148846,91.974519384,16.093218644,27.899563807,66.51416122,34.2
04007,Arizona,Gila,48.828846341,4.3046678288,89.633173844,11.666666667,33.085441904,65.348452634,35.1
04009,Arizona,Graham,48.607709751,3.6832633473,84.23814329,10.550133097,26.549218433,54.477747502,39.2
04011,Arizona,Greenlee,60.702022129,2.8589580686,88.092868988,2.9057187017,24.759726685,54.836309524,36.5
04012,Arizona,La Paz,43.870967742,4.7619047619,82.548915918,10.288808664,36.220569251,45.838967425,40.2
04013,Arizona,Maricopa,68.456292157,3.4201574091,89.496300153,13.102882908,27.534982121,68.560820286,34.3
04015,Arizona,Mohave,53.08254717,4.5092249284,88.166109977,11.420779929,31.394977088,62.080664294,35.5
04017,Arizona,Navajo,51.116465863,5.6656941223,85.993399156,8.603827073,39.120973908,64.919739152,37.1
04019,Arizona,Pima,68.331277779,3.8261425427,89.945863409,13.577036191,29.92250514,68.293569554,35.7
04021,Arizona,Pinal,56.396455585,4.1120772379,89.126051479,9.451166053,23.887954457,56.756159676,35.2
04023,Arizona,Santa Cruz,59.777138749,7.5770191507,77.706782531,9.900373599,33.677480916,69.090266737,36.1
04025,Arizona,Yavapai,61.363792119,3.6101645231,92.496831701,13.830097087,29.644814831,75.848537005,35.9
04027,Arizona,Yuma,55.887682887,13.201213019,76.637533508,11.861544956,28.870559412,53.534301145,38.2
05000,Arkansas,,58.915371054,3.2507926461,88.55761802,10.173720119,29.843538307,54.92588354,
05001,Arkansas,Arkansas,52.136096188,2.6593406593,87.482817869,8.9861751152,32.837961672,46.29874908,
05003,Arkansas,Ashley,50.661764706,5.6279069767,87.829552422,10.820367751,26.642453592,52.681954138,
05005,Arkansas,Baxter,60.043907794,3.5820540283,89.401996455,8.222883419,36.60765511,61.432958035,
05007,Arkansas,Benton,67.046172581,2.4426919304,90.574767004,6.653708134,26.569651956,66.063577764,
05009,Arkansas,Boone,59.292035398,3.1297324584,90.724986825,6.664442962,26.26883214,59.382373352,
05011,Arkansas,Bradley,45.931863727,4.6321525886,87.261973456,8.2122905028,29.560920831,47.640156454,
05013,Arkansas,Calhoun,47.637415622,2.9324266893,86.680448907,5.6445993031,29.395552012,52.200956938,
05015,Arkansas,Carroll,41.3102675,2.9351979836,83.999410117,9.6057997281,31.259956285,58.113300493,
05017,Arkansas,Chicot,50.370713624,5.7523675903,81.553676365,12.56684492,33.770832817,51.772870662,
05019,Arkansas,Clark,54.243041412,4.7182021414,89.96525814,12.906465788,28.272437034,47.255840135,
05021,Arkansas,Clay,49.431137725,4.1256272068,86.647837943,8.2236842105,30.126093616,45.089169204,
05023,Arkansas,Cleburne,42.700801251,3.9350822588,88.269261616,7.1768060837,31.041416778,63.115978099,
05025,Arkansas,Cleveland,56.767561393,3.4708578913,91.643402196,4.785046729,24.055235227,57.738572574,
05027,Arkansas,Columbia,52.489748096,4.2902784117,88.463722845,10.778443114,29.469156763,46.686534814,
05029,Arkansas,Conway,49.649904519,3.7647341833,90.128284283,8.0405002978,27.616360025,54.657016992,
05031,Arkansas,Craighead,62.270434865,2.7460273209,90.254071843,11.078539147,31.868314398,48.646497821,
05033,Arkansas,Crawford,51.583769634,3.3642603907,86.632191963,7.7162552813,26.730302793,51.914664368,
05035,Arkansas,Crittenden,52.706576728,4.214559387,85.288995498,13.39139902,34.929917742,47.194348328,
05037,Arkansas,Cross,47.567831826,3.4037558685,83.411867365,8.0443388757,34.494115673,56.187778227,
05039,Arkansas,Dallas,60.250173732,3.9289761995,89.019352033,7.9295154185,27.654654076,47.430617726,
05041,Arkansas,Desha,48.164948454,4.6031096563,77.888844462,11.397849462,32.699164922,50.350665054,
05043,Arkansas,Drew,55.846560847,4.1525308726,87.135302699,7.5575352635,30.133754564,48.647887324,
05045,Arkansas,Faulkner,67.482236823,2.8822561108,93.68387508,13.082986643,29.49681222,58.594035957,
05047,Arkansas,Franklin,52.614213198,3.2149582997,87.07010582,10.986342944,27.353588402,52.227106227,
05049,Arkansas,Fulton,49.683410722,3.8470042008,87.728896829,9.8677076556,26.530876451,52.664609053,
05051,Arkansas,Garland,62.020022247,3.6901611739,90.894630026,11.160768209,36.089806682,57.701044386,
05053,Arkansas,Grant,54.447141911,2.8578066914,91.110587126,8.1318681319,24.991447143,58.739255014,
05055,Arkansas,Greene,49.335507542,3.3108211039,87.397944482,10.547550432,31.702258134,47.415697246,
05057,Arkansas,Hempstead,54.812956204,3.3694344164,83.43159486,9.4758064516,31.857007276,45.097135331,
05059,Arkansas,Hot Spring,49.422850412,3.5464098074,89.396465488,7.5282308657,29.276321907,47.76340814,
05061,Arkansas,Howard,48.835745752,3.4502478079,89.384213029,8.0614203455,30.614272427,52.946330778,
05063,Arkansas,Independence,56.863611264,3.4097659499,87.493593029,10.228471002,28.131334283,52.051649928,
05065,Arkansas,Izard,55.249138201,5.0938337802,84.771235613,9.1284503369,27.292899408,52.014324082,
05067,Arkansas,Jackson,45.809939696,5.1067780873,83.770464417,9.5519864751,29.843538307,37.753058954,
05069,Arkansas,Jefferson,46.843995374,4.6126552336,88.567042648,11.511991658,35.326032149,47.747200607,
05071,Arkansas,Johnson,44.43903231,4.3659254747,83.903002309,11.769547325,29.233730923,51.396103896,
05073,Arkansas,Lafayette,52.906976744,4.8614266243,81.624026696,5.5670103093,33.470244615,49.981343284,
05075,Arkansas,Lawrence,55.498652291,3.3560023655,82.384699854,5.2504038772,30.094868918,45.722092116,
05077,Arkansas,Lee,32.550644567,5.1825677267,82.580645161,16.022944551,35.829590309,39.418685121,
05079,Arkansas,Lincoln,35.35169588,3.9923434509,83.25681053,5.5172413793,25.971787715,35.730751498,
05081,Arkansas,Little River,55.63598759,3.4849951597,91.013361712,3.821656051,34.301861294,54.039665971,
05083,Arkansas,Logan,50.731112916,4.0024183797,89.289940828,6.4390243902,29.001754728,48.943766736,
05085,Arkansas,Lonoke,55.434522956,2.7376447655,90.211056076,8.8621646623,26.545449677,57.045581395,
05087,Arkansas,Madison,36.670807453,2.5511492801,85.773988633,5.8410041841,28.697715357,59.426030719,
05089,Arkansas,Marion,56.022235948,4.1157024793,86.312312774,10.007262164,32.694347174,55.598369767,
05091,Arkansas,Miller,48.929943296,3.6387055225,86.917668248,10.223642173,36.088137879,50.501069355,
05093,Arkansas,Mississippi,46.884596335,4.9237005246,85.609596174,9.8958333333,33.22892248,41.071547421,
05095,Arkansas,Monroe,47.813411079,3.9350912779,83.431952663,7.8417266187,30.617016564,51.860036832,
05097,Arkansas,Montgomery,45.115452931,4.9050086356,87.580694743,7.4033149171,30.909758935,54.47257384,
05099,Arkansas,Nevada,46.944770858,3.6661698957,90.11420414,9.4723041626,38.07997893,52.63322884,
05101,Arkansas,Newton,64.860681115,3.3845189596,85.440979529,10.380116959,28.023840888,64.380032206,
05103,Arkansas,Ouachita,55.172413793,3.8633295254,88.876827789,9.4328358209,29.643791507,53.008532893,
05105,Arkansas,Perry,57.556406982,3.6038130667,91.696601271,4.9863013699,26.110421408,57.657320872,
05107,Arkansas,Phillips,51.054351054,6.4885496183,82.639953988,14.821576763,41.772457014,46.25416821,
05109,Arkansas,Pike,57.745266781,3.4551329853,87.110421661,6.656580938,26.065752806,52.452130945,
05111,Arkansas,Poinsett,45.911127707,3.3276192397,82.34228405,9.5878035008,25.850682676,41.993299832,
05113,Arkansas,Polk,58.258258258,3.6286157025,87.38279808,10.812923398,30.190930788,57.114026236,
05115,Arkansas,Pope,54.218838482,3.8626007711,85.978313253,9.647109764,29.888504812,51.729832733,
05117,Arkansas,Prairie,62.354988399,3.0948324815,85.923803102,4.6199701937,23.911065827,54.186046512,
05119,Arkansas,Pulaski,69.103250705,3.1937544358,91.961688175,13.983628922,34.841223266,58.661144188,
05121,Arkansas,Randolph,51.045373665,3.5477031802,86.0530641,7.9664570231,26.89005439,50.609212481,
05123,Arkansas,St. Francis,43.866171004,4.9765258216,85.684197485,14.149139579,39.126786228,36.943866944,
05125,Arkansas,Saline,67.380037803,2.7241418708,92.650114214,8.0662279771,25.972457736,62.79241539,
05127,Arkansas,Scott,51.989026063,3.0143868463,84.583092067,9.2048069547,32.990049103,45.760309278,
05129,Arkansas,Searcy,47.834776815,4.347826087,80.041797283,7.7443354751,30.220212348,63.591772152,
05131,Arkansas,Sebastian,59.47734139,3.3983276933,85.179271806,9.9174366031,30.317318282,51.507867133,
05133,Arkansas,Sevier,36.302294197,3.7690751976,72.535944989,8.0886426593,28.303529189,51.555996036,
05135,Arkansas,Sharp,47.851168157,3.9393939394,85.358011136,10.229799852,29.539528923,55.652813534,
05137,Arkansas,Stone,51.666666667,4.1171290181,86.006564551,10.90712743,33.797153106,58.850346878,
05139,Arkansas,Union,52.25877193,4.6369737645,87.956956422,12.491349481,34.270296392,56.892771497,
05141,Arkansas,Van Buren,38.75994695,4.0235690236,86.431695828,9.0168702734,29.798140348,59.211224877,
05143,Arkansas,Washington,64.265259772,2.2912204002,87.26297793,11.202718512,31.340125155,57.988435039,
05145,Arkansas,White,50.224767205,3.4693031792,86.747649979,9.4115561857,29.598775321,52.458598726,
05147,Arkansas,Woodruff,40.293890178,3.5525852972,82.916762211,8.665377176,28.375598141,48.74015748,
05149,Arkansas,Yell,42.95273944,3.6936715095,81.503016208,6.3319946452,25.909187068,45.562690098,
06000,California,,67.958780264,4.7645946988,84.599252045,18.726985313,29.723764036,67.89890246,32.5
06001,California,Alameda,78.665401985,4.0749205304,88.899842172,16.515036973,37.269982387,70.58904411,37.1
06003,California,Alpine,65.060240964,6.4814814815,96.264855688,8.9655172414,24.246682279,83.728813559,34.8
06005,California,Amador,62.899086336,5.0749791725,90.967265567,15.843553199,23.414265727,69.364018038,35.8
06007,California,Butte,71.16797422,5.2464367316,90.327055473,17.00143472,35.736478346,59.729634831,36.7
06009,California,Calaveras,59.727074236,4.217525961,93.346220653,18.173598553,26.548201607,72.679598662,36.4
06011,California,Colusa,51.299394802,12.991679274,73.192555476,11.703601108,28.844394451,62.883096367,38.7
06013,California,Contra Costa,71.833483855,4.1348686003,89.612546671,15.927449514,33.944262295,75.107852321,36.5
06015,California,Del Norte,57.085237967,5.7079318013,85.543746537,14.079229122,26.532442938,55.841053145,36.3
06017,California,El Dorado,72.700331087,3.9575104089,94.916520954,15.405478709,27.577220889,79.801456444,33.1
06019,California,Fresno,58.161646516,7.4624761409,78.596924832,17.65038993,36.222306408,60.455257076,38.4
06021,California,Glenn,50.8897779,6.2773608505,80.323204123,19.304419832,29.537205788,64.68365302,37.7
06023,California,Humboldt,69.10044259,4.6007306454,91.518263009,20.364395521,39.364183535,64.38137099,36.9
06025,California,Imperial,56.179035708,17.268807815,71.847136062,17.244059516,32.667438062,54.874522509,39.2
06027,California,Inyo,68.342857143,3.7821663674,92.804202346,13.860103627,30.925533103,69.837997054,35.8
06029,California,Kern,51.900240742,8.3215657192,77.134983268,16.169637733,31.385528085,57.626184454,35.6
06031,California,Kings,49.4649573,8.2102623987,74.235177142,12.995927865,29.208733731,47.051062004,36.8
06033,California,Lake,56.064147513,5.7862467777,87.084908552,16.30834786,35.285184226,59.925124792,36.3
06035,California,Lassen,42.634741442,5.1948051948,79.143445083,11.776649746,23.968717441,48.976506639,38
06037,California,Los Angeles,67.101530479,5.025132441,80.663151122,22.703721293,29.38415473,66.969211562,35.1
06039,California,Madera,50.836559897,7.479051802,73.047587713,16.215588338,29.695539011,57.559721478,37.7
06041,California,Marin,77.251890901,3.3177294005,92.734518539,17.704630667,33.879322112,84.034837005,34
06043,California,Mariposa,75.779310345,5.0900960147,90.471923536,17.007978723,29.75198906,73.089228582,35
06045,California,Mendocino,56.552153706,4.6980763571,86.162200304,18.392512257,32.068112489,69.460693966,38.1
06047,California,Merced,47.859991818,9.0034641644,71.889250434,15.607511504,35.234557851,59.512355415,38.6
06049,California,Modoc,55.463117027,6.3399693721,87.946567257,10.430364614,35.837372106,63.867647059,36.6
06051,California,Mono,78.361006963,3.8123489343,89.554404145,8.5308056872,35.959890567,66.156111929,34.4
06053,California,Monterey,51.307111369,7.0149082305,73.33478949,18.467560654,29.549931459,69.230087001,38
06055,California,Napa,67.182044888,3.5346588304,84.707217106,16.854513494,28.522230738,74.988307436,35.5
06057,California,Nevada,72.029803567,3.9170318195,95.068600351,19.403720586,27.060430103,81.257451214,33.3
06059,California,Orange,73.920471963,3.5533362327,86.944062632,19.09167731,27.816850084,72.672076085,32.3
06061,California,Placer,79.916997653,3.7258819119,94.924700703,14.176958214,27.425013634,80.819596046,33.8
06063,California,Plumas,71.272093602,7.2746867843,93.983429774,13.255240444,29.060682148,72.8802589,36.2
06065,California,Riverside,58.460755098,4.7996711205,83.29993991,18.167233436,26.970338279,62.712241753,35
06067,California,Sacramento,68.225636456,4.4495148048,88.367519276,16.646617765,30.534317212,68.092446652,37.9
06069,California,San Benito,58.118966726,5.9645766477,83.238204833,15.128474043,26.296712079,72.65625,36.5
06071,California,San Bernardino,57.14517804,4.6518327061,82.094299547,17.693095264,26.586738555,60.771995737,35
06073,California,San Diego,74.702047278,3.8846001584,89.017709391,19.630004798,28.202675016,69.764402864,33
06075,California,San Francisco,88.488549618,3.2659596752,88.797557819,15.649673936,41.381041959,67.959765272,37.5
06077,California,San Joaquin,54.010579676,6.2359414472,80.430627222,16.70047913,27.875793112,61.681811379,38.3
06079,California,San Luis Obispo,71.517279039,3.4581921153,91.770092466,18.518342971,31.996793194,72.496765847,34.1
06081,California,San Mateo,80.06311224,3.0296838971,90.304941702,17.458805601,31.50645016,74.023359079,33.2
06083,California,Santa Barbara,65.000587284,4.1141270481,82.136136409,19.052844553,34.857744995,70.560535353,36
06085,California,Santa Clara,81.738888438,3.5014163324,89.325923302,15.063779988,28.875676865,72.53930764,34.1
06087,California,Santa Cruz,73.878974616,5.7402583754,88.493324503,19.239631336,32.272227252,74.544893075,35.8
06089,California,Shasta,66.075334143,5.1401426464,92.069743463,16.736520565,31.428372837,68.320835171,35.1
06091,California,Sierra,22.727272727,4.6546546547,91.391941392,17.452006981,27.534540081,79.301848049,35.8
06093,California,Siskiyou,63.664323374,6.3831060062,91.0729267,14.375340971,41.069944892,69.2900369,37.4
06095,California,Solano,63.446050883,4.6507734053,88.919960506,15.776348602,27.935671984,65.752291527,35.9
06097,California,Sonoma,66.974128052,3.6182817598,88.863757807,17.356321839,23.012869794,75.15145574,36.9
06099,California,Stanislaus,55.112809196,6.4325551391,80.113164202,16.849943718,27.213110735,62.526615859,37.7
06101,California,Sutter,56.864844198,7.784149264,78.834957406,13.625522689,33.92896843,68.653304355,37.5
06103,California,Tehama,58.273930754,5.8263971463,86.279877153,16.856728177,32.444756827,61.853606028,36.3
06105,California,Trinity,52.315978456,5.6798245614,94.770657124,13.209990749,35.780256917,61.003898635,35.6
06107,California,Tulare,51.664988771,9.9951711884,74.368204422,16.564639403,27.885046519,56.258378337,36.7
06109,California,Tuolumne,65.624265225,5.0052555183,93.518916082,15.132008177,29.104508565,68.478774913,35.8
06111,California,Ventura,66.051384957,4.2740796889,85.288552671,17.779819886,30.564369262,74.190888115,36.5
06113,California,Yolo,74.170031805,4.6932657877,88.411793152,18.206980355,36.064567067,65.592934673,35.3
06115,California,Yuba,62.233041486,6.6629023151,84.6613019,15.075757576,31.691214524,56.884306987,36.5
08000,Colorado,,74.371721437,3.1688710808,92.758609931,13.481528504,32.644281648,78.960032258,
08001,Colorado,Adams,60.647708652,3.4154997628,84.985811809,13.730909505,36.011461198,71.587541578,
08003,Colorado,Alamosa,64.063548892,3.7256135935,89.100190171,10.933758978,28.152469234,67.925184863,
08005,Colorado,Arapahoe,73.729377229,3.1115372526,91.964370552,14.088437175,35.417179172,77.840066685,
08007,Colorado,Archuleta,56.850649351,3.2404692082,95.345842531,13.363415481,30.481513328,83.240782886,
08009,Colorado,Baca,66.952264382,2.0117762512,85.794542536,10.120177103,29.001918981,81.801470588,
08011,Colorado,Bent,32.573289902,3.0235162374,81.186518929,11.643454039,28.883451957,48.58974359,
08013,Colorado,Boulder,84.836060814,2.8468802731,95.525991511,17.101616628,43.237624781,83.618402369,
08014,Colorado,Broomfield,86.390037842,3.0258696763,96.076666292,10.381861575,29.78561708,91.38154027,
08015,Colorado,Chaffee,64.900662252,3.0072934359,94.594253237,12.135633551,37.57071901,82.663452847,
08017,Colorado,Cheyenne,77.142857143,2.119460501,91.706924316,5.7777777778,45.022713962,83.837638376,
